Episode	Accumulated Reward	Average Reward	Length	Steps
614	-101	-33.666666666666664	3	11101
615	-125	-4.62962962962963	27	11128
616	-143	-0.9794520547945206	146	11274
617	-118	-5.9	20	11294
618	-182	-2.1666666666666665	84	11378
619	-101	-33.666666666666664	3	11381
620	-100	-50.0	2	11383
621	-78	-0.9629629629629629	81	11464
622	-58	-0.9508196721311475	61	11525
623	38	0.5757575757575758	66	11591
624	-102	-25.5	4	11595
625	-29	-0.90625	32	11627
626	-113	-7.533333333333333	15	11642
627	-156	-2.689655172413793	58	11700
628	133	1.8472222222222223	72	11772
629	-134	-3.7222222222222223	36	11808
630	-100	-50.0	2	11810
631	-135	-3.6486486486486487	37	11847
632	9	0.09473684210526316	95	11942
633	-105	-15.0	7	11949
634	-118	-5.9	20	11969
635	-111	-8.538461538461538	13	11982
636	-101	-33.666666666666664	3	11985
637	-100	-50.0	2	11987
638	-115	-6.764705882352941	17	12004
639	-160	-0.9815950920245399	163	12167
640	-100	-50.0	2	12169
641	-123	-4.92	25	12194
642	-140	-3.3333333333333335	42	12236
643	-100	-50.0	2	12238
644	-100	-50.0	2	12240
645	-101	-33.666666666666664	3	12243
646	-121	-5.260869565217392	23	12266
647	-100	-50.0	2	12268
648	-100	-50.0	2	12270
649	-100	-50.0	2	12272
650	-146	-3.0416666666666665	48	12320
651	-58	-0.9508196721311475	61	12381
652	-100	-50.0	2	12383
653	-105	-15.0	7	12390
654	-102	-25.5	4	12394
655	-106	-13.25	8	12402
656	-100	-50.0	2	12404
657	-235	-1.7153284671532847	137	12541
658	-120	-5.454545454545454	22	12563
659	-118	-5.9	20	12583
660	-5	-0.625	8	12591
661	-100	-50.0	2	12593
662	-138	-3.45	40	12633
663	-36	-0.9230769230769231	39	12672
664	-31	-0.9117647058823529	34	12706
665	-21	-0.875	24	12730
666	-143	-3.1777777777777776	45	12775
667	-101	-33.666666666666664	3	12778
668	-49	-0.9423076923076923	52	12830
669	-139	-3.3902439024390243	41	12871
670	-114	-7.125	16	12887
671	-100	-50.0	2	12889
672	-47	-0.94	50	12939
673	-100	-50.0	2	12941
674	-100	-50.0	2	12943
675	-100	-50.0	2	12945
676	-100	-50.0	2	12947
677	-100	-50.0	2	12949
678	-122	-5.083333333333333	24	12973
679	-100	-50.0	2	12975
680	-100	-50.0	2	12977
681	-72	-0.96	75	13052
682	-78	-0.9629629629629629	81	13133
683	-100	-50.0	2	13135
684	-101	-33.666666666666664	3	13138
685	-119	-5.666666666666667	21	13159
686	-115	-6.764705882352941	17	13176
687	-111	-8.538461538461538	13	13189
688	-48	-0.9411764705882353	51	13240
689	-107	-11.88888888888889	9	13249
690	-100	-50.0	2	13251
691	-100	-50.0	2	13253
692	-120	-5.454545454545454	22	13275
693	-139	-3.3902439024390243	41	13316
694	-100	-50.0	2	13318
695	-106	-13.25	8	13326
696	-100	-50.0	2	13328
697	-108	-10.8	10	13338
698	-65	-0.9558823529411765	68	13406
699	-160	-2.5806451612903225	62	13468
700	-50	-0.9433962264150944	53	13521
701	-100	-50.0	2	13523
702	-119	-5.666666666666667	21	13544
703	-108	-10.8	10	13554
704	-100	-50.0	2	13556
705	-100	-50.0	2	13558
706	-100	-50.0	2	13560
707	-100	-50.0	2	13562
708	-129	-4.161290322580645	31	13593
709	-107	-11.88888888888889	9	13602
710	-136	-3.5789473684210527	38	13640
711	-100	-50.0	2	13642
712	-142	-3.227272727272727	44	13686
713	-100	-50.0	2	13688
714	-100	-50.0	2	13690
715	-122	-5.083333333333333	24	13714
716	-100	-50.0	2	13716
717	-100	-50.0	2	13718
718	-125	-4.62962962962963	27	13745
