Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
190	49	0.8909090909090909	55	3121	190	49	0.8909090909090909	55	3121	190	49	0.8909090909090909	55	3121	190	49	0.8909090909090909	55	3121
191	-104	-17.333333333333332	6	3127	191	-104	-17.333333333333332	6	3127	191	-104	-17.333333333333332	6	3127	191	-104	-17.333333333333332	6	3127
192	-112	-8.0	14	3141	192	-112	-8.0	14	3141	192	-112	-8.0	14	3141	192	-112	-8.0	14	3141
193	-106	-13.25	8	3149	193	-106	-13.25	8	3149	193	-106	-13.25	8	3149	193	-106	-13.25	8	3149
194	-100	-50.0	2	3151	194	-100	-50.0	2	3151	194	-100	-50.0	2	3151	194	-100	-50.0	2	3151
195	-101	-33.666666666666664	3	3154	195	-101	-33.666666666666664	3	3154	195	-101	-33.666666666666664	3	3154	195	-101	-33.666666666666664	3	3154
196	-119	-5.666666666666667	21	3175	196	-119	-5.666666666666667	21	3175	196	-119	-5.666666666666667	21	3175	196	-119	-5.666666666666667	21	3175
197	-102	-25.5	4	3179	197	-102	-25.5	4	3179	197	-102	-25.5	4	3179	197	-102	-25.5	4	3179
198	-149	-2.9215686274509802	51	3230	198	-149	-2.9215686274509802	51	3230	198	-149	-2.9215686274509802	51	3230	198	-149	-2.9215686274509802	51	3230
199	-100	-50.0	2	3232	199	-100	-50.0	2	3232	199	-100	-50.0	2	3232	199	-100	-50.0	2	3232
200	-117	-6.157894736842105	19	3251	200	-117	-6.157894736842105	19	3251	200	-117	-6.157894736842105	19	3251	200	-117	-6.157894736842105	19	3251
